	Pinyin	Definition	Radical	Stroke count	HSK level	Frequency rank
站	zhàn	stand up; a stand, station	立	10	2	544
诉	sù	accuse; sue; inform; narrate	言	7	2	595
千	qiān	thousand; many, numerous; very; (Cant.) a cheater, swindler	十	3	2	599
男	nán	male, man; son; baron; surname	田	7	2	602
助	zhù	help, aid, assist	力	7	2	607
乐	lè	happy, glad; enjoyable; music	丿	5	2	619
球	qiú	ball, sphere, globe; round	玉	11	2	628
错	cuò	error, blunder, mistake; wrong	金	13	2	638
晚	wǎn	night, evening; late	日	11	2	641
试	shì	test, try, experiment	言	8	2	643
送	sòng	see off, send off; dispatch, give	辵	9	2	656
药	yào	leaf of Dahurian angelica plant; medicine	艸	9	2	662
游	yóu	to swim; float, drift; wander, roam	水	12	2	695
室	shì	room, home, house, chamber	宀	9	2	708
您	nín		心	11	2	726
帮	bāng	help, assist; defend; shoe upper	巾	9	2	769
左	zuǒ	left; east; unorthodox, improper	工	5	2	782
右	yòu	right; west; right-wing	口	5	2	783
穿	chuān	penetrate, pierce, drill; wear	穴	9	2	785
哥	gē	elder brother	口	10	2	804
弟	dì	young brother; junior; i, me	弓	7	2	816
慢	màn	slow(ly), leisurely, sluggish	心	14	2	822
忙	máng	busy, pressed for time; hustling	心	6	2	827
介	jiè	forerunner, herald, harbinger; to lie between; sea shell; to wear armor	人	4	2	831
鱼	yú	fish; surname; KangXi radical 195	魚	8	2	852
跑	pǎo	run, flee, leave in hurry	足	12	2	864
贵	guì	expensive, costly, valuable	貝	9	2	873
班	bān	class, group, grade; squad; job	玉	10	2	884
票	piào	slip of paper or bamboo; ticket	示	11	2	910
睛	jīng	eyeball; pupil of eye	目	13	2	934
旅	lǚ	trip, journey; travel; traveler	方	10	2	950
笔	bǐ	writing brush; write; stroke	竹	10	2	956
卖	mài	sell; betray; show off	十	8	2	974
旁	páng	side; by side, close by, near	方	10	2	981
阴	yīn		阜	6	2	987
跳	tiào	jump, leap, vault, bounce; dance	足	13	2	999
雪	xuě	snow; wipe away shame, avenge	雨	11	2	1003
肉	ròu	flesh; meat; KangXi radical 130	肉	6	2	1009
馆	guǎn	public building	食	11	2	1011
牛	niú	cow, ox, bull; KangXi radical93	牛	4	2	1018
纸	zhǐ	paper	糸	7	2	1020
歌	gē	song, lyrics; sing, chant; praise	欠	14	2	1040
床	chuáng	bed, couch; framework, chassis	广	7	2	1068
玩	wán	play with, joke, enjoy	玉	8	2	1072
妻	qī	wife	女	8	2	1076
休	xiū	rest, stop; retire; do not!	人	6	2	1082
舞	wǔ	dance, posture, prance; brandish	舛	14	2	1144
姓	xìng		女	8	2	1149
妹	mèi	younger sister	女	8	2	1185
汽	qì	steam, vapor, gas	水	7	2	1200
课	kè	lesson; course; classwork	言	10	2	1208
懂	dǒng	understand, comprehend	心	15	2	1211
绍	shào	continue, carry on; join	糸	8	2	1234
丈	zhàng	unit of length equal 3.3 meters; gentleman, man, husband	一	3	2	1242
洗	xǐ	wash, rinse; clean, purify	水	9	2	1247
唱	chàng	sing, chant, call; ditty, song	口	11	2	1252
奶	nǎi		女	5	2	1278
宜	yí	suitable, right, fitting, proper	宀	8	2	1290
累	lèi	tired; implicate, involve; bother	糸	11	2	1323
羊	yáng	sheep, goat; KangXi radical 123	羊	6	2	1337
零	líng	zero; fragment, fraction	雨	13	2	1342
蛋	dàn	eggs; term of abuse	虫	11	2	1387
鸡	jī	chicken	鳥	7	2	1391
宾	bīn	guest, visitor; surname; submit	宀	10	2	1534
颜	yán	face, facial appearance	頁	15	2	1545
瓜	guā	melon, gourd, cucumber; rad. 97	瓜	5	2	1827
晴	qíng	clear weather, fine weather	日	12	2	1968
啡	fēi	morphine; coffee	口	11	2	2326
篮	lán	basket	竹	16	2	2357
咖	kā	coffee; a phonetic	口	8	2	2379
踢	tī	kick	足	15	2	2444
泳	yǒng	dive; swim	水	8	2	2607
铅	qiān	lead	金	10	2	2641
地	de	earth; soil, ground; region	土	6	3	21
而	ér	and; and then; and yet; but	而	6	3	36
于	yú	in, on, at; go to; surname	二	3	3	40
自	zì	self, private, personal; from	自	6	3	43
发	fā	issue, dispatch, send out; hair	又	5	3	47
用	yòng	use, employ, apply, operate; use	用	5	3	51
行	xíng	go; walk; move, travel; circulate	行	6	3	53
种	zhǒng	seed; race, breed; to plant	禾	9	3	57
成	chéng	completed, finished, fixed	戈	6	3	59
方	fāng	a square, rectangle; a region; local	方	4	3	60
法	fǎ	law, rule, regulation, statute; France, French	水	8	3	65
如	rú	if, supposing; as if; like, as	女	6	3	67
当	dāng	bear, accept, undertake; just	小	6	3	71
定	dìng	decide, settle, fix	宀	8	3	77
其	qí	his, her, its, their; that	八	8	3	85
主	zhǔ	master, chief owner; host; lord	丶	5	3	87
理	lǐ	reason, logic; manage	玉	11	3	89
心	xīn	heart; mind, intelligence; soul	心	4	3	90
只	zhǐ	only, just, simply	口	5	3	97
实	shí	real, true; honest, sincere	宀	8	3	100
者	zhě	that which; he who; those who	老	8	3	103
力	lì	power, capability, influence	力	2	3	106
把	bǎ	hold, take; guard; regard as	手	7	3	110
又	yòu	and, also, again, in addition	又	2	3	126
业	yè	profession, business; GB radical 111	一	5	3	130
重	zhòng	heavy, weighty; double	里	9	3	140
物	wù	thing, substance, creature	牛	8	3	142
应	yīng	should, ought to, must	广	7	3	144
向	xiàng	toward, direction, trend	口	6	3	146
头	tóu	head; top; chief, first; boss	大	5	3	147
文	wén	literature, culture, writing	文	4	3	148
相	xiāng	mutual, reciprocal, each other	目	9	3	152
被	bèi		衣	10	3	154
或	huò	or, either, else; perhaps, maybe	戈	8	3	160
己	jǐ	self, oneself; personal, private; 6th heavenly stem	己	3	3	162
加	jiā	add to, increase, augment	力	5	3	166
特	tè	special, unique, distinguished	牛	10	3	173
信	xìn	trust, believe; letter	人	9	3	176
化	huà	change, convert, reform; -ize	匕	4	3	178
世	shì	generation; world; era	一	5	3	181
位	wèi	throne; position, post; rank, status; seat	人	7	3	182
声	shēng	sound, voice, noise; tone; music	士	7	3	195
提	tí	hold in hand; lift in hand	手	12	3	196
解	jiě	loosen, unfasten, untie; explain	角	13	3	201
口	kǒu	mouth; open end; entrance, gate	口	3	3	212
平	píng	flat, level, even; peaceful	干	5	3	215
更	gèng	more, still further, much more	曰	7	3	221
变	biàn	change, transform, alter; rebel	又	8	3	225
总	zǒng	collect; overall, altogether	八	9	3	228
数	shù	number; several, count; fate	攴	13	3	231
安	ān	peaceful, tranquil, quiet	宀	6	3	232
才	cái	talent, ability; just, only	手	3	3	235
结	jié	knot, tie; join, connect	糸	9	3	236
目	mù	eye; look, see; division, topic	目	5	3	239
感	gǎn	feel, perceive, emotion	心	13	3	243
接	jiē	receive; continue; catch; connect	手	11	3	247
必	bì	surely, most certainly; must	心	5	3	248
市	shì	market, fair; city, town; trade	巾	5	3	254
直	zhí	straight, erect, vertical	目	8	3	255
山	shān	mountain, hill, peak	山	3	3	259
空	kōng	empty, hollow, bare, deserted	穴	8	3	272
决	jué	decide, determine, judge	冫	6	3	273
马	mǎ	horse; surname; KangXi radical 187	馬	3	3	276
界	jiè	boundary, limit; domain; society; the world	田	9	3	288
放	fàng	put, release, free, liberate	攴	8	3	291
像	xiàng	a picture, image, figure; to resemble	人	13	3	294
且	qiě	moreover, also (post-subject); about to, will soon (pre-verb)	一	5	3	296
难	nán	difficult, arduous, hard; unable	又	10	3	295
记	jì	record; keep in mind, remember	言	5	3	306
南	nán	south; southern part; southward	十	9	3	307
求	qiú	seek; demand, request; beseech	水	7	3	312
据	jù	to occupy, take possession of; a base, position	手	11	3	313
张	zhāng	stretch, extend, expand; sheet	弓	7	3	318
该	gāi	should, ought to, need to	言	8	3	319
万	wàn	ten thousand; innumerable	一	3	3	322
清	qīng	clear, pure, clean; peaceful	水	11	3	335
带	dài	belt, girdle, band, strap, zone	巾	9	3	342
风	fēng	wind; air; manners, atmosphere	風	4	3	348
根	gēn	root, base(d on); foundation	木	10	3	352
干	gàn	oppose, offend; invade; dried	干	3	3	353
极	jí	extreme, utmost, furthest, final	木	7	3	363
办	bàn	manage, do, handle; deal with	力	4	3	367
议	yì	consult, talk over, discuss	言	5	3	368
元	yuán	first; dollar; origin; head	儿	4	3	370
单	dān	single, individual, only; lone	八	8	3	389
调	diào	transfer, move, change; tune	言	10	3	400
算	suàn	count, calculate, figure; plan	竹	14	3	403
需	xū	need, require, must	雨	14	3	408
花	huā	flower; blossoms	艸	7	3	410
城	chéng	castle; city, town; municipality	土	9	3	413
级	jí	level, rank, class; grade	糸	6	3	415
复	fù	return; repeat; repeatedly	夊	9	3	426
满	mǎn	fill; full, satisfied	水	13	3	436
越	yuè	exceed, go beyond; the more ...	走	12	3	440
容	róng	looks, appearance; figure, form	宀	10	3	442
照	zhào	shine, illumine, reflect	火	13	3	443
须	xū	must, have to, necessary	彡	9	3	444
包	bāo	wrap, pack, bundle; package	勹	5	3	454
片	piàn	slice, splinter, strip; rad. 91	片	4	3	455
史	shǐ	history, chronicle, annals	口	5	3	456
乎	hū	interrogative or exclamatory final particle	丿	5	3	458
查	chá	investigate, examine, seek into	木	9	3	459
轻	qīng	light; easy, simple; gentle	車	9	3	460
易	yì	change; easy	日	8	3	461
除	chú	eliminate, remove, except	阜	9	3	464
阿	ā		阜	7	3	471
李	lǐ	plum; judge; surname	木	7	3	472
图	tú	diagram; chart, map, picture	囗	8	3	476
历	lì	history; calendar	厂	4	3	480
突	tū	suddenly, abruptly, unexpectedly	穴	9	3	484
周	zhōu	Zhou dynasty; circumference	口	8	3	490
较	jiào	compare; comparatively, more	車	10	3	491
注	zhù	concentrate, focus, direct	水	8	3	492
选	xuǎn	choose, select; elect; election	辵	9	3	499
响	xiǎng	make sound, make noise; sound	口	9	3	503
参	cān	take part in, intervene; ginseng	厶	8	3	507
